경로	HTTP메서드	구 컨트롤러:라인	구 판정	구 근거(SecurityConfig.kt)	booster 판정	booster 근거	판정 일치여부	실측 요청경로	구 실측(무토큰)	구 실측(유효토큰 헤더)	booster 실측(무토큰)	booster 실측(유효토큰 헤더)	booster 수정전(유효토큰 헤더)	booster 토큰 출처	실측 대조
/api/v1/admin/crawling/storeChannel	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:49	AUTHENTICATED	anyRequest().authenticated()	AUTHENTICATED	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/admin/crawling/storeChannel	401	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	401	404	401	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	무토큰 구401=신401 일치 · 유효토큰 신404(게이트 통과) — 수정 전 401, 이 행이 CRITICAL 회귀분
/api/v1/admin/crawling/storeChannels	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:70	AUTHENTICATED	anyRequest().authenticated()	AUTHENTICATED	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/admin/crawling/storeChannels	401	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	401	404	401	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	무토큰 구401=신401 일치 · 유효토큰 신404(게이트 통과) — 수정 전 401, 이 행이 CRITICAL 회귀분
/api/v1/admin/organization-user	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:34	AUTHENTICATED	anyRequest().authenticated()	AUTHENTICATED	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/admin/organization-user	401	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	401	404	401	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	무토큰 구401=신401 일치 · 유효토큰 신404(게이트 통과) — 수정 전 401, 이 행이 CRITICAL 회귀분
/api/v1/admin/organizations/{organizationId}/teams/{teamId}/stores/{storeId}	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:103	AUTHENTICATED	anyRequest().authenticated()	AUTHENTICATED	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/admin/organizations/1/teams/1/stores/1	401	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	401	404	401	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	무토큰 구401=신401 일치 · 유효토큰 신404(게이트 통과) — 수정 전 401, 이 행이 CRITICAL 회귀분
/api/v1/admin/seo/hospitals	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminSeoController.kt:26	AUTHENTICATED	anyRequest().authenticated()	AUTHENTICATED	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/admin/seo/hospitals	401	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	401	404	401	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	무토큰 구401=신401 일치 · 유효토큰 신404(게이트 통과) — 수정 전 401, 이 행이 CRITICAL 회귀분
/api/v1/admin/seo/hospitals/{storeId}	PATCH	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminSeoController.kt:40	AUTHENTICATED	anyRequest().authenticated()	AUTHENTICATED	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/admin/seo/hospitals/1	401	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	401	404	401	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	무토큰 구401=신401 일치 · 유효토큰 신404(게이트 통과) — 수정 전 401, 이 행이 CRITICAL 회귀분
/api/v1/admin/store-channel-match	PATCH	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:86	AUTHENTICATED	anyRequest().authenticated()	AUTHENTICATED	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/admin/store-channel-match	401	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	401	404	401	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	무토큰 구401=신401 일치 · 유효토큰 신404(게이트 통과) — 수정 전 401, 이 행이 CRITICAL 회귀분
/api/v1/admin/stores/{storeId}/communities-keywords	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:174	AUTHENTICATED	anyRequest().authenticated()	AUTHENTICATED	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/admin/stores/1/communities-keywords	401	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	401	404	401	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	무토큰 구401=신401 일치 · 유효토큰 신404(게이트 통과) — 수정 전 401, 이 행이 CRITICAL 회귀분
/api/v1/admin/stores/{storeId}/communities-keywords	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:120	AUTHENTICATED	anyRequest().authenticated()	AUTHENTICATED	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/admin/stores/1/communities-keywords	401	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	401	404	401	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	무토큰 구401=신401 일치 · 유효토큰 신404(게이트 통과) — 수정 전 401, 이 행이 CRITICAL 회귀분
/api/v1/admin/stores/{storeId}/communities/{communityId}	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:138	AUTHENTICATED	anyRequest().authenticated()	AUTHENTICATED	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/admin/stores/1/communities/1	401	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	401	404	401	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	무토큰 구401=신401 일치 · 유효토큰 신404(게이트 통과) — 수정 전 401, 이 행이 CRITICAL 회귀분
